code,name,lat,lon
VI,Álava,42.83,-2.75
AB,Albacete,38.83,-2.0
A,Alicante,38.5,-0.5
AL,Almería,37.02,-2.44
AV,Ávila,40.62,-4.93
BA,Badajoz,38.67,-6.18
PM,Islas Baleares,39.5,3.0
B,Barcelona,41.45,2.08
BU,Burgos,42.38,-3.67
CC,Cáceres,39.67,-6.0
CA,Cádiz,36.5,5.75
CS,Castellón,40.17,-0.17
CR,Ciudad Real,39.0,4.0
CO,Córdoba,38.0,-4.83
C,A Coruña,43.37,-8.4
CU,Cuenca,40.0,-2.0
GI,Girona,42.17,2.67
GR,Granada,37.25,-3.25
GU,Guadalajara,40.83,-2.5
SS,Gipuzkoa,43.17,-2.17
H,Huelva,37.67,-7.0
HU,Huesca,42.17,-0.17
J,Jaén,38.0,-3.5
LE,León,42.62,-5.84
L,Lleida,42.0,1.17
LO,La Rioja,42.25,-2.5
LU,Lugo,43.0,-7.5
M,Madrid,40.39,-3.72
MA,Málaga,36.72,-4.42
MU,Murcia,38.0,-1.13
NA,Navarra,42.82,-1.65
OR,Ourense,42.17,-7.5
O,Asturias,43.36,-5.85
P,Palencia,42.43,-4.52
GC,Las Palmas,28.33,-14.33
PO,Pontevedra,42.43,-8.63
SA,Salamanca,40.83,-6.0
TF,Santa Cruz de Tenerife,28.17,-17.33
S,Cantabria,43.33,-4.0
SG,Segovia,41.17,-4.0
SE,Sevilla,37.5,-5.5
SO,Soria,41.67,-2.67
T,Tarragona,41.17,1.0
TE,Teruel,40.67,-0.67
TO,Toledo,39.83,-4.0
V,Valencia,39.48,-0.38
VA,Valladolid,41.58,-4.67
BI,Bizkaia,43.26,-2.93
ZA,Zamora,41.75,-6.0
Z,Zaragoza,41.58,-1.0
CE,Ceuta,35.89,-5.3
ML,Melilla,35.28,-2.95
HP,Hautes-Pyrénées,43.23,0.07
GE,Gers,43.65,0.58
HG,Haute-Garonne,43.42,1.5
AR,Ariège,43.0,1.5
PY,Pyrénées-Orientales,42.5,2.75
AU,Aude,43.08,2.42
TA,Tarn,43.82,2.2
TG,Tarn-et-Garonne,44.0,1.33
LT,Lot,44.58,1.58
AY,Aveyron,44.25,2.7
HE,Hérault,43.35,3.22
GA,Gard,44.13,4.08
LZ,Lozère,44.33,3.6
PT,Pyrénées-Atlantiques,43.25,0.83
LN,Landes,44.0,-0.83
LG,Lor-et-Garonne,44.33,0.5
GN,Gironde,44.83,-0.67
DD,Dordogne,45.0,0.67
CZ,Corrèze,45.33,1.83
CX,Creuse,46.12,1.91
HV,Hauté-Vienne,45.83,1.27
CH,Charente,45.83,0.33
CM,Charente-Maritime,45.95,-0.97
DS,Deux-Sèvres,46.5,0.33
VN,Vienne,45.52,4.85
VC,Vaucluse,44.0,5.17
BR,Bouches-du-Rhône,43.5,5.08
VR,Var,43.5,6.33
HA,Hautes-Alpes,44.67,6.33
AP,Alpes-de-Haute-Provence,44.0,6.17
AM,Alpes-Maritimes,43.83,7.17
